Store ID,Store Name,Address,City,County,Zip Code,Store Location,Store_Segment,CLV,Frequency
5795,Casey'S General Store #61 / Wilton,624 W 5TH ST,Wilton,Muscatine,52778.0,POINT (-91.02618 41.59003),Rising Stars,24977.370000000003,30.859598853868196
5404,The Depot Oxford Llc,220 N AUGUSTA AVE,Oxford,Johnson,52322.0,POINT (-91.79066 41.72465),At-Risk Accounts,30833.87,41.735537190082646
5873,West D Liquors,5014 EP TRUE PKWY,West Des Moines,Polk,50265.0,POINT (-93.77234 41.57175),Loyal Giants,216196.11000000004,214.33333333333334
5108,Tobacco 4 Less / State St,1032 STATE ST,Bettendorf,Scott,52722.0,POINT (-90.51827 41.52504),,,
5621,Sun Mart,2920 WEST LOCUST STREET,Davenport,Scott,52804.0,POINT (-90.61995 41.53817),At-Risk Accounts,33649.990000000005,35.78512396694215
4013,Wal-Mart 0841 / Tipton,1126 HIGHWAY 38 NORTH,Tipton,Cedar,52772.0,POINT (-91.12746 41.78643),Rising Stars,44486.84,34.309392265193374
5532,The Food Center,215 W 4TH ST,Saint Ansgar,Mitchell,50472.0,POINT (-92.92087 43.37848),At-Risk Accounts,30467.440000000002,23.724928366762178
10070,Le Claire Grocery Store / Le Claire,536 NORTH CODY ROAD,Le Claire,Scott,52753.0,POINT (-90.34381 41.60326),Loyal Giants,129627.02999999998,187.10743801652893
5206,Brothers Market  /  Grundy Center,1400 G  AVE,Grundy Center,Grundy,50638.0,POINT (-92.78209 42.36156),Loyal Giants,68404.26999999999,65.4696132596685
10058,West Side Grocery,1802 WEST 7TH STREET,Davenport,Scott,52802.0,POINT (-90.60132 41.52677),,,
6290,S & S Meats And Spirits / Osage,508 MAIN STREET,Osage,Mitchell,50461.0,POINT (-92.81398 43.28406),Loyal Giants,63958.19,49.49579831932773
4766,Keywest Conoco / Dubuque,2150 TWIN VALLEY DR,Dubuque,Dubuque,52003.0,POINT (-90.67433 42.45981),Rising Stars,14331.16,13.885714285714286
5916,Another Round / Dewitt,622 S 6TH AVE,Dewitt,Clinton,52742.0,POINT (-90.53908 41.80942),Loyal Giants,4188155.4300000006,988.8365650969529
10045,Country Foods / Belle Plaine,1206 7TH AVE.,Belle Plaine,Benton,52208.0,POINT (-92.27826 41.89664),At-Risk Accounts,30103.46,41.22857142857143
6061,Brooklyn Grocery,122 E FRONT ST,Brooklyn,Poweshiek,52211.0,POINT (-92.44518 41.72856),,,
5403,Golden Mart,1026 W RIVER DRIVE,Davenport,Scott,52802.0,POINT (-90.58837 41.52016),Loyal Giants,71763.15,70.49586776859505
5794,Casey'S General Store #1922 / Walcott,780 N MAIN ST,Walcott,Scott,52773.0,POINT (-90.77458 41.59208),Rising Stars,38372.82,43.02857142857143
5819,Casey'S General Store #2530 / Alta,303 E HWY 7,Alta,Buena Vista,51002.0,POINT (-95.302 42.67533),At-Risk Accounts,12569.86,11.165413533834586
4747,Walgreens #11709 / Davenport,1805 BRADY ST,Davenport,Scott,52803.0,POINT (-90.57403 41.5378),,,
5071,Jeff'S Market / Durant,408 6TH AVE,Durant,Cedar,52747.0,POINT (-90.91174 41.60058),Champions,54078.82,132.2314049586777
5588,Casey'S General Store #2533 / Marengo,2157 HWY 6 TRAIL,Marengo,Iowa,52301.0,POINT (-92.07329 41.78953),Rising Stars,16813.72,12.26890756302521
5846,Rockingham Liquor - Davenport,2423 ROCKINGHAM ROAD,Davenport,Scott,52802.0,POINT (-90.61345 41.51414),Champions,183078.88,142.41758241758242
2698,Hy-Vee Gas #4 - Wdm,665 SOUTH 51ST STREET,West Des Moines,Polk,50265.0,POINT (-93.77283 41.55982),At-Risk Accounts,8446.44,7.159090909090909
2521,Hy-Vee Food And Drug (1888) / Grand / Wdm,1990 GRAND AVENUE,West Des Moines,Polk,50265.0,POINT (-93.7314 41.57151),Loyal Giants,631983.01,414.81894150417827
5190,Guppy'S On The Go / Walford,200 HWY 151 E,Walford,Linn,52351.0,POINT (-91.83344 41.87841),At-Risk Accounts,5247.66,
10072,Express Mart / Muscatine,4804 US 61,Muscatine,Muscatine,52761.0,POINT (-91.12141 41.37156),Champions,70315.69,67.89915966386555
